0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:37:52 +0100] "GET /singup/registration.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:37:52 +0100] "GET /singup/vendor/jquery/jquery.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:37:52 +0100] "GET /singup/alert/dist/sweetalter.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:37:54 +0100] "GET /singup/login.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:37:54 +0100] "GET /singup/alert/dist/sweetalter.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:37:54 +0100] "GET /singup/vendor/jquery/jquery.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:41:05 +0100] "GET /singup/registration.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:41:05 +0100] "GET /singup/vendor/jquery/jquery.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:41:05 +0100] "GET /singup/alert/dist/sweetalter.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:42:10 +0100] "POST /singup/registration HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:42:10 +0100] "GET /singup/vendor/jquery/jquery.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [19/Mar/2023:14:42:10 +0100] "GET /singup/alert/dist/sweetalter.css HTTP/1.1" 404 725
